Brew_ID,Name,City,State,Region
330,The Bronx Brewery,Bronx, NY,NORTHEAST
331,Dead Armadillo Craft Brewing,Tulsa, OK,SOUTH
332,Catawba Brewing Company,Morganton, NC,SOUTH
333,La Cumbre Brewing Company,Albuquerque, NM,WEST
334,David's Ale Works,Diamond Springs, CA,WEST
335,The Traveler Beer Company,Burlington, VT,NORTHEAST
336,Fargo Brewing Company,Fargo, ND,MIDWEST
337,Big Sky Brewing Company,Missoula, MT,WEST
338,Nebraska Brewing Company,Papillion, NE,MIDWEST
339,Uncle John's Fruit House Winery,St. John's, MI,MIDWEST
340,Wormtown Brewery,Worcester, MA,NORTHEAST
341,Due South Brewing Company,Boynton Beach, FL,SOUTH
342,Palisade Brewing Company,Palisade, CO,WEST
343,KelSo Beer Company,Brooklyn, NY,NORTHEAST
344,Hardywood Park Craft Brewery,Richmond, VA,SOUTH
345,Wolf Hills Brewing Company,Abingdon, VA,SOUTH
346,Lavery Brewing Company,Erie, PA,NORTHEAST
347,Manzanita Brewing Company,Santee, CA,WEST
348,Fullsteam Brewery,Durham, NC,SOUTH
349,Four Horsemen Brewing Company,South Bend, IN,MIDWEST
350,Hinterland Brewery,Green Bay, WI,MIDWEST
351,Central Coast Brewing Company,San Luis Obispo, CA,WEST
352,Westfield River Brewing Company,Westfield, MA,NORTHEAST
353,Elevator Brewing Company,Columbus, OH,MIDWEST
354,Aslan Brewing Company,Bellingham, WA,WEST
355,Kulshan Brewery,Bellingham, WA,WEST
356,Pikes Peak Brewing Company,Monument, CO,WEST
357,Manayunk Brewing Company,Philadelphia, PA,NORTHEAST
358,Buckeye Brewing,Cleveland, OH,MIDWEST
359,Daredevil Brewing Company,Shelbyville, IN,MIDWEST
360,NoDa Brewing Company,Charlotte, NC,SOUTH
361,Aviator Brewing Company,Fuquay-Varina, NC,SOUTH
362,Wild Onion Brewing Company,Lake Barrington, IL,MIDWEST
363,Hilliard's Beer,Seattle, WA,WEST
364,Mikkeller,Pottstown, PA,NORTHEAST
365,Bohemian Brewery,Midvale, UT,WEST
366,Great River Brewery,Davenport, IA,MIDWEST
367,Mustang Brewing Company,Mustang, OK,SOUTH
368,Airways Brewing Company,Kent, WA,WEST
369,21st Amendment Brewery,San Francisco, CA,WEST
370,Eddyline Brewery & Restaurant,Buena Vista, CO,WEST
371,Pizza Port Brewing Company,Carlsbad, CA,WEST
372,Sly Fox Brewing Company,Pottstown, PA,NORTHEAST
373,Spring House Brewing Company,Conestoga, PA,NORTHEAST
374,7venth Sun,Dunedin, FL,SOUTH
375,Astoria Brewing Company,Astoria, OR,WEST
376,Maui Brewing Company,Lahaina, HI,WEST
377,RoughTail Brewing Company,Midwest City, OK,SOUTH
378,Lucette Brewing Company,Menominee, WI,MIDWEST
379,Bold City Brewery,Jacksonville, FL,SOUTH
380,Grey Sail Brewing of Rhode Island,Westerly, RI,NORTHEAST
381,Blue Blood Brewing Company,Lincoln, NE,MIDWEST
